14,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,阳光,-1,-1,-1,0.1434,0.0
14,fine,THUSAM-D-C-2A,FRDC-D-C-1A,阳光,-1,-1,-1,0.0905,0.0
15,fine,THUSAM-D-C-2A,FRDC-D-C-1A,嫦娥,2,3,1,0.1674,0.2432
17,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,泰国特产,1,2,1,0.0,0.5231
17,fine,THUSAM-D-C-2A,FRDC-D-C-1A,泰国特产,1,2,1,0.0,0.4539
20,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,浴缸,-2,4,-3,0.4271,0.0
20,fine,THUSAM-D-C-2A,FRDC-D-C-1A,浴缸,-2,4,-3,0.1925,0.0
21,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,婚戒,2,4,1,0.5693,0.9066
21,fine,THUSAM-D-C-2A,FRDC-D-C-1A,婚戒,2,4,1,0.2014,0.5513
22,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,三星,0,0,0,0.1932,0.4652
22,fine,THUSAM-D-C-2A,FRDC-D-C-1A,三星,0,0,0,0.1911,0.4365
23,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,饥饿游戏,2,3,3,0.0,0.0
23,fine,THUSAM-D-C-2A,FRDC-D-C-1A,饥饿游戏,2,3,3,0.0,0.0
25,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,椰岛造型,-1,-3,1,0.3302,0.0
25,fine,THUSAM-D-C-2A,FRDC-D-C-1A,椰岛造型,-1,-3,1,0.2293,0.0
26,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,野葛根,2,1,0,0.7396,0.8093
26,fine,THUSAM-D-C-2A,FRDC-D-C-1A,野葛根,2,1,0,0.5665,0.7026
28,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,卫子夫,2,4,2,0.5951,0.8084
28,fine,THUSAM-D-C-2A,FRDC-D-C-1A,卫子夫,2,4,2,0.2626,0.5495
29,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,佛教音乐,-2,-1,-1,0.2689,0.0
29,fine,THUSAM-D-C-2A,FRDC-D-C-1A,佛教音乐,-2,-1,-1,0.0886,0.0
