runname,id,nDCG@0020,D#nDCG@0020,I-rec@0020
FRDC-D-C-2A,0008,0.2311,0.6266,1.0
FRDC-D-C-2A,0009,0.0,0.0,0.0
FRDC-D-C-2A,0010,0.4688,0.6042,0.75
FRDC-D-C-2A,0011,0.419,0.5209,0.6667
FRDC-D-C-2A,0012,0.128,0.321,0.5
FRDC-D-C-2A,0013,0.9079,0.9498,1.0
FRDC-D-C-2A,0014,0.0,0.0,0.0
FRDC-D-C-2A,0015,0.2179,0.265,0.3333
FRDC-D-C-2A,0016,0.0,0.0,0.0
FRDC-D-C-2A,0017,0.4602,0.5773,0.6667
FRDC-D-C-2A,0018,0.0,0.0,0.0
FRDC-D-C-2A,0019,0.0,0.0,0.0
FRDC-D-C-2A,0020,0.0,0.0,0.0
FRDC-D-C-2A,0021,0.5234,0.7435,1.0
FRDC-D-C-2A,0022,0.6602,0.4566,0.25
FRDC-D-C-2A,0023,0.0,0.0,0.0
FRDC-D-C-2A,0024,0.3197,0.6419,1.0
FRDC-D-C-2A,0025,0.0,0.0,0.0
FRDC-D-C-2A,0026,0.7387,0.7669,0.8
FRDC-D-C-2A,0027,0.8097,0.9018,1.0
FRDC-D-C-2A,0028,0.4281,0.6985,1.0
FRDC-D-C-2A,0029,0.0,0.0,0.0
FRDC-D-C-2A,0030,0.7235,0.8561,1.0
FRDC-D-C-2A,0031,0.1758,0.3135,0.5
FRDC-D-C-2A,0032,0.4303,0.5285,0.6667
FRDC-D-C-3A,0001,0.5764,0.6346,0.6667
FRDC-D-C-3A,0002,0.5854,0.7815,1.0
FRDC-D-C-3A,0003,0.0,0.0,0.0
FRDC-D-C-3A,0004,0.4035,0.7116,1.0
FRDC-D-C-3A,0005,0.0244,0.1384,0.25
FRDC-D-C-3A,0006,0.0,0.0,0.0
FRDC-D-C-3A,0007,0.0,0.0,0.0
FRDC-D-C-3A,0008,0.2311,0.6266,1.0
FRDC-D-C-3A,0009,0.0,0.0,0.0
FRDC-D-C-3A,0010,0.5394,0.6326,0.75
FRDC-D-C-3A,0011,0.47,0.5625,0.6667
FRDC-D-C-3A,0012,0.128,0.321,0.5
FRDC-D-C-3A,0013,1.0,1.0,1.0
FRDC-D-C-3A,0014,0.0,0.0,0.0
FRDC-D-C-3A,0015,0.2179,0.265,0.3333
FRDC-D-C-3A,0016,0.0,0.0,0.0
FRDC-D-C-3A,0017,0.3181,0.5019,0.6667
FRDC-D-C-3A,0018,0.0,0.0,0.0
FRDC-D-C-3A,0019,0.0,0.0,0.0
FRDC-D-C-3A,0020,0.0,0.0,0.0
FRDC-D-C-3A,0021,0.7372,0.8622,1.0
FRDC-D-C-3A,0022,0.6747,0.4652,0.25
FRDC-D-C-3A,0023,0.0,0.0,0.0
FRDC-D-C-3A,0024,0.3197,0.6419,1.0
FRDC-D-C-3A,0025,0.0,0.0,0.0
FRDC-D-C-3A,0026,0.821,0.8059,0.8
FRDC-D-C-3A,0027,0.8494,0.9259,1.0
FRDC-D-C-3A,0028,0.5918,0.7843,1.0
FRDC-D-C-3A,0029,0.0,0.0,0.0
FRDC-D-C-3A,0030,0.8983,0.9512,1.0
FRDC-D-C-3A,0031,0.1758,0.3135,0.5
FRDC-D-C-3A,0032,0.4303,0.5285,0.6667
THUSAM-D-C-2B,0001,0.2315,0.6212,1.0
THUSAM-D-C-2B,0002,0.1151,0.3836,0.6667
THUSAM-D-C-2B,0003,0.1016,0.5546,1.0
THUSAM-D-C-2B,0004,0.1797,0.586,1.0
THUSAM-D-C-2B,0005,0.0268,0.1396,0.25
THUSAM-D-C-2B,0006,0.0478,0.2772,0.5
THUSAM-D-C-2B,0007,0.0301,0.5164,1.0
THUSAM-D-C-2B,0008,0.128,0.5448,1.0
THUSAM-D-C-2B,0009,0.0863,0.5444,1.0
THUSAM-D-C-2B,0010,0.211,0.6071,1.0
THUSAM-D-C-2B,0011,0.4267,0.7274,1.0
THUSAM-D-C-2B,0012,0.1431,0.576,1.0
THUSAM-D-C-2B,0013,0.2426,0.3761,0.5
THUSAM-D-C-2B,0014,0.0334,0.143,0.25
THUSAM-D-C-2B,0015,0.1052,0.3865,0.6667
THUSAM-D-C-2B,0016,0.11,0.2559,0.4
THUSAM-D-C-2B,0017,0.0,0.0,0.0
THUSAM-D-C-2B,0018,0.3865,0.6851,1.0
THUSAM-D-C-2B,0019,0.2184,0.3613,0.5
THUSAM-D-C-2B,0020,0.2142,0.4271,0.6667
THUSAM-D-C-2B,0021,0.126,0.5676,1.0
THUSAM-D-C-2B,0022,0.1215,0.1932,0.25
THUSAM-D-C-2B,0023,0.0,0.0,0.0
THUSAM-D-C-2B,0024,0.2171,0.3559,0.5
THUSAM-D-C-2B,0025,0.146,0.3302,0.5
THUSAM-D-C-2B,0026,0.4954,0.7401,1.0
THUSAM-D-C-2B,0027,0.1753,0.5949,1.0
THUSAM-D-C-2B,0028,0.171,0.5942,1.0
THUSAM-D-C-2B,0029,0.0364,0.2695,0.5
THUSAM-D-C-2B,0030,0.324,0.5041,0.6667
THUSAM-D-C-2B,0031,0.0,0.0,0.0
THUSAM-D-C-2B,0032,0.2734,0.4747,0.6667
